crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
fallible-streaming-iterator@0.1.9		X									X			
fastrand@2.3.0		X									X			
find-msvc-tools@0.1.9		X									X			
flatbuffers@25.12.19		X												
flate2@1.1.9		X									X			
fnv@1.0.7		X									X			
foreign-types@0.3.2		X									X			
foreign-types-shared@0.1.1		X									X			
form_urlencoded@1.2.2		X									X			
futures@0.3.31		X									X			
futures-channel@0.3.31		X									X			
futures-core@0.3.31		X									X			
futures-executor@0.3.31		X									X			
futures-io@0.3.31		X									X			
futures-macro@0.3.31		X									X			
futures-sink@0.3.31		X									X			
futures-task@0.3.31		X									X			
futures-util@0.3.31		X									X			
g2gen@1.2.2		X									X			
g2p@1.2.2		X									X			
g2poly@1.2.2		X									X			
generic-array@0.14.7											X			
getrandom@0.2.16		X									X			
getrandom@0.3.3		X									X			
getrandom@0.4.1		X									X			
gloo-timers@0.3.0		X									X			
h2@0.4.13											X			
half@2.7.1		X									X			
hashbrown@0.16.1		X									X			
hdfs-native@0.13.5		X												
heck@0.5.0		X									X			
hex@0.4.3		X									X			
hmac@0.12.1		X									X			
home@0.5.12		X									X			
http@1.3.1		X									X			
http-body@1.0.1											X			
http-body-util@0.1.3											X			
httparse@1.10.1		X									X			
httpdate@1.0.3		X									X			
hyper@1.6.0											X			
hyper-rustls@0.27.7		X							X		X			
hyper-tls@0.6.0		X									X			
hyper-util@0.1.15											X			
iana-time-zone@0.1.63		X									X			
iana-time-zone-haiku@0.1.2		X									X			
icu_collections@2.0.0												X		
icu_locale_core@2.0.0												X		
icu_normalizer@2.0.0												X		
icu_normalizer_data@2.0.0												X		
icu_properties@2.0.1												X		
icu_properties_data@2.0.1												X		
icu_provider@2.0.0												X		
ident_case@1.0.1		X									X			
idna@1.1.0		X									X			
idna_adapter@1.2.1		X									X			
indexmap@2.13.0		X									X			
inout@0.1.4		X									X			
integer-encoding@3.0.4											X			
ipnet@2.11.0		X									X			
iri-string@0.7.8		X									X			
itertools@0.14.0		X									X			
itoa@1.0.15		X									X			
jiff@0.2.23											X		X	
jiff-tzdb@0.1.6											X		X	
jiff-tzdb-platform@0.1.3											X		X	
jobserver@0.1.34		X									X			
js-sys@0.3.95		X									X			
lexical-core@1.0.6		X									X			
lexical-parse-float@1.0.6		X									X			
lexical-parse-integer@1.0.6		X									X			
lexical-util@1.0.7		X									X			
lexical-write-float@1.0.6		X									X			
lexical-write-integer@1.0.6		X									X			
libc@0.2.182		X									X			
libloading@0.9.0									X					
libm@0.2.15											X			
libredox@0.1.16											X			
linux-raw-sys@0.12.1		X	X								X			
litemap@0.8.0												X		
log@0.4.29		X									X			
lz4_flex@0.11.6											X			
lz4_flex@0.13.0											X			
lzokay-native@0.1.0											X			
md-5@0.10.6		X									X			
memchr@2.8.0											X		X	
mime@0.3.17		X									X			
miniz_oxide@0.8.9		X									X			X
mio@1.0.4											X			
native-tls@0.2.18		X									X			
num@0.4.3		X									X			
num-bigint@0.4.6		X									X			
num-complex@0.4.6		X									X			
num-integer@0.1.46		X									X			
num-iter@0.1.45		X									X			
num-rational@0.4.2		X									X			
num-traits@0.2.19		X									X			
once_cell@1.21.3		X									X			
opendal@0.55.0		X												
openssl@0.10.77		X												
openssl-macros@0.1.1		X									X			
openssl-probe@0.2.1		X									X			
openssl-sys@0.9.113											X			
orc-rust@0.8.0		X												
ordered-float@2.10.1											X			
paimon@0.1.0		X												
parquet@58.1.0		X												
paste@1.0.15		X									X			
percent-encoding@2.3.2		X									X			
phf@0.12.1											X			
phf_shared@0.12.1											X			
pin-project-lite@0.2.16		X									X			
pin-utils@0.1.0		X									X			
pkg-config@0.3.32		X									X			
plain@0.2.3		X									X			
portable-atomic@1.13.1		X									X			
portable-atomic-util@0.2.6		X									X			
potential_utf@0.1.2												X		
ppv-lite86@0.2.21		X									X			
pretty_assertions@1.4.1		X									X			
prettyplease@0.2.37		X									X			
proc-macro2@1.0.95		X									X			
prost@0.13.5		X												
prost@0.14.3		X												
prost-derive@0.13.5		X												
prost-derive@0.14.3		X												
prost-types@0.14.3		X												
quad-rand@0.2.3											X			
quick-xml@0.37.5											X			
quick-xml@0.38.4											X			
quote@1.0.44		X									X			
r-efi@5.3.0		X								X	X			
rand@0.8.5		X									X			
rand@0.9.2		X									X			
rand_chacha@0.3.1		X									X			
rand_chacha@0.9.0		X									X			
rand_core@0.6.4		X									X			
rand_core@0.9.3		X									X			
regex@1.12.3		X									X			
regex-automata@0.4.14		X									X			
regex-lite@0.1.9		X									X			
regex-syntax@0.8.10		X									X			
reqsign@0.16.5		X												
reqwest@0.12.28		X									X			
ring@0.17.14		X							X					
roaring@0.11.3		X									X			
roxmltree@0.21.1		X									X			
rustc_version@0.4.1		X									X			
rustix@1.1.4		X	X								X			
rustls@0.23.29		X							X		X			
rustls-pki-types@1.12.0		X									X			
rustls-webpki@0.103.4									X					
rustversion@1.0.21		X									X			
ryu@1.0.20		X				X								
schannel@0.1.29											X			
security-framework@3.6.0		X									X			
security-framework-sys@2.17.0		X									X			
semver@1.0.27		X									X			
seq-macro@0.3.6		X									X			
serde@1.0.228		X									X			
serde_bytes@0.11.19		X									X			
serde_core@1.0.228		X									X			
serde_derive@1.0.228		X									X			
serde_json@1.0.149		X									X			
serde_repr@0.1.20		X									X			
serde_urlencoded@0.7.1		X									X			
serde_with@3.14.0		X									X			
serde_with_macros@3.14.0		X									X			
sha1@0.10.6		X									X			
sha2@0.10.9		X									X			
shlex@1.3.0		X									X			
simd-adler32@0.3.8											X			
simdutf8@0.1.5		X									X			
siphasher@1.0.2		X									X			
slab@0.4.10											X			
smallvec@1.15.1		X									X			
snafu@0.8.9		X									X			
snafu@0.9.0		X									X			
snafu-derive@0.8.9		X									X			
snafu-derive@0.9.0		X									X			
snap@1.1.1					X									
socket2@0.5.10		X									X			
socket2@0.6.2		X									X			
stable_deref_trait@1.2.0		X									X			
strsim@0.11.1											X			
strum@0.27.2											X			
strum_macros@0.27.2											X			
subtle@2.6.1					X									
syn@2.0.117		X									X			
sync_wrapper@1.0.2		X												
synstructure@0.13.2											X			
system-configuration@0.6.1		X									X			
system-configuration-sys@0.6.0		X									X			
tempfile@3.26.0		X									X			
thiserror@1.0.69		X									X			
thiserror@2.0.18		X									X			
thiserror-impl@1.0.69		X									X			
thiserror-impl@2.0.18		X									X			
thrift@0.17.0		X												
tiny-keccak@2.0.2							X							
tinystr@0.8.1												X		
tokio@1.49.0											X			
tokio-macros@2.6.0											X			
tokio-native-tls@0.3.1											X			
tokio-rustls@0.26.2		X									X			
tokio-util@0.7.18											X			
tower@0.5.2											X			
tower-http@0.6.8											X			
tower-layer@0.3.3											X			
tower-service@0.3.3											X			
tracing@0.1.41											X			
tracing-core@0.1.36											X			
try-lock@0.2.5											X			
twox-hash@2.1.2											X			
typed-builder@0.19.1		X									X			
typed-builder-macro@0.19.1		X									X			
typenum@1.18.0		X									X			
unicode-ident@1.0.18		X									X	X		
unicode-segmentation@1.13.2		X									X			
unicode-width@0.2.2		X									X			
untrusted@0.9.0									X					
url@2.5.8		X									X			
urlencoding@2.1.3											X			
utf8_iter@1.0.4		X									X			
uuid@1.21.0		X									X			
vcpkg@0.2.15		X									X			
version_check@0.9.5		X									X			
want@0.3.1											X			
wasi@0.11.1+wasi-snapshot-preview1		X	X								X			
wasi@0.14.2+wasi-0.2.4		X	X								X			
wasip2@1.0.2+wasi-0.2.9		X	X								X			
wasip3@0.4.0+wasi-0.3.0-rc-2026-01-06		X	X								X			
wasite@0.1.0		X				X					X			
wasm-bindgen@0.2.118		X									X			
wasm-bindgen-futures@0.4.68		X									X			
wasm-bindgen-macro@0.2.118		X									X			
wasm-bindgen-macro-support@0.2.118		X									X			
wasm-bindgen-shared@0.2.118		X									X			
wasm-streams@0.4.2		X									X			
web-sys@0.3.95		X									X			
webpki-roots@1.0.2								X						
whoami@1.6.1		X				X					X			
windows-core@0.61.2		X									X			
windows-implement@0.60.0		X									X			
windows-interface@0.59.1		X									X			
windows-link@0.1.3		X									X			
windows-link@0.2.1		X									X			
windows-registry@0.5.3		X									X			
windows-result@0.3.4		X									X			
windows-strings@0.4.2		X									X			
windows-sys@0.52.0		X									X			
windows-sys@0.59.0		X									X			
windows-sys@0.60.2		X									X			
windows-sys@0.61.2		X									X			
windows-targets@0.52.6		X									X			
windows-targets@0.53.5		X									X			
windows_aarch64_gnullvm@0.52.6		X									X			
windows_aarch64_gnullvm@0.53.1		X									X			
windows_aarch64_msvc@0.52.6		X									X			
windows_aarch64_msvc@0.53.1		X									X			
windows_i686_gnu@0.52.6		X									X			
windows_i686_gnu@0.53.1		X									X			
windows_i686_gnullvm@0.52.6		X									X			
windows_i686_gnullvm@0.53.1		X									X			
windows_i686_msvc@0.52.6		X									X			
windows_i686_msvc@0.53.1		X									X			
windows_x86_64_gnu@0.52.6		X									X			
windows_x86_64_gnu@0.53.1		X									X			
windows_x86_64_gnullvm@0.52.6		X									X			
windows_x86_64_gnullvm@0.53.1		X									X			
windows_x86_64_msvc@0.52.6		X									X			
windows_x86_64_msvc@0.53.1		X									X			
wit-bindgen@0.51.0		X	X								X			
wit-bindgen-rt@0.39.0		X	X								X			
writeable@0.6.1												X		
yansi@1.0.1		X									X			
yoke@0.8.0												X		
yoke-derive@0.8.0												X		
zerocopy@0.8.26		X		X							X			
zerocopy-derive@0.8.26		X		X							X			
zerofrom@0.1.6												X		
zerofrom-derive@0.1.6												X		
zeroize@1.8.1		X									X			
zerotrie@0.2.2												X		
zerovec@0.11.2												X		
zerovec-derive@0.11.1												X		
zlib-rs@0.6.3														X
zmij@1.0.21											X			
zstd@0.13.3											X			
zstd-safe@7.2.4		X									X			
zstd-sys@2.0.16+zstd.1.5.7		X									X			
