crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	MPL-2.0	Unicode-3.0	Unlicense	Zlib	bzip2-1.0.6	zlib-acknowledgement
datafusion-expr@54.0.0		X																
datafusion-expr-common@54.0.0		X																
datafusion-functions@54.0.0		X																
datafusion-functions-aggregate@54.0.0		X																
datafusion-functions-aggregate-common@54.0.0		X																
datafusion-functions-nested@54.0.0		X																
datafusion-functions-table@54.0.0		X																
datafusion-functions-window@54.0.0		X																
datafusion-functions-window-common@54.0.0		X																
datafusion-macros@54.0.0		X																
datafusion-optimizer@54.0.0		X																
datafusion-physical-expr@54.0.0		X																
datafusion-physical-expr-adapter@54.0.0		X																
datafusion-physical-expr-common@54.0.0		X																
datafusion-physical-optimizer@54.0.0		X																
datafusion-physical-plan@54.0.0		X																
datafusion-pruning@54.0.0		X																
datafusion-session@54.0.0		X																
datafusion-sql@54.0.0		X																
datasketches@0.2.0		X																
deranged@0.5.8		X									X							
diff@0.1.13		X									X							
digest@0.10.7		X									X							
digest@0.11.3		X									X							
displaydoc@0.2.6		X									X							
dlv-list@0.5.2		X									X							
downcast-rs@1.2.1		X									X							
downcast-rs@2.0.2		X									X							
dtype_dispatch@0.2.1		X																
dunce@1.0.5		X					X					X						
either@1.16.0		X									X							
encoding_rs@0.8.35		X			X						X							
enum-iterator@2.3.0	X																	
enum-iterator-derive@1.5.0	X																	
equivalent@1.0.2		X									X							
erased-serde@0.4.10		X									X							
errno@0.3.14		X									X							
event-listener@5.4.1		X									X							
event-listener-strategy@0.5.4		X									X							
ext-trait@1.0.1		X									X					X		
ext-trait-proc_macros@1.0.1		X									X					X		
extension-traits@1.0.1		X									X					X		
fallible-streaming-iterator@0.1.9		X									X							
fastdivide@0.4.2											X							X
fastlanes@0.5.2		X																
fastrand@2.5.0		X									X							
find-msvc-tools@0.1.9		X									X							
fixedbitset@0.5.7		X									X							
flatbuffers@25.12.19		X																
flate2@1.1.9		X									X							
fnv@1.0.7		X									X							
foldhash@0.1.5																X		
foldhash@0.2.0																X		
foreign-types@0.3.2		X									X							
foreign-types-shared@0.1.1		X									X							
form_urlencoded@1.2.2		X									X							
fs4@0.13.1		X									X							
fs4@0.8.4		X									X							
fs_extra@1.3.0											X							
fsst-rs@0.5.11		X																
funty@2.0.0											X							
futures@0.3.33		X									X							
futures-channel@0.3.33		X									X							
futures-core@0.3.33		X									X							
futures-executor@0.3.33		X									X							
futures-io@0.3.33		X									X							
futures-lite@2.6.1		X									X							
futures-macro@0.3.33		X									X							
futures-sink@0.3.33		X									X							
futures-task@0.3.33		X									X							
futures-util@0.3.33		X									X							
generic-array@0.14.7											X							
getrandom@0.2.17		X									X							
getrandom@0.3.4		X									X							
getrandom@0.4.3		X									X							
glob@0.3.3		X									X							
h2@0.4.15											X							
half@2.7.1		X									X							
hashbrown@0.14.5		X									X							
hashbrown@0.15.5		X									X							
hashbrown@0.16.1		X									X							
hashbrown@0.17.1		X									X							
heck@0.5.0		X									X							
hermit-abi@0.5.2		X									X							
hex@0.4.3		X									X							
hmac@0.12.1		X									X							
hmac@0.13.0		X									X							
htmlescape@0.3.1		X									X		X					
http@1.4.2		X									X							
http-body@1.1.0											X							
http-body-util@0.1.4											X							
httparse@1.10.1		X									X							
httpdate@1.0.3		X									X							
humansize@2.1.3		X									X							
humantime@2.4.0		X									X							
hybrid-array@0.4.13		X									X							
hyper@1.10.1											X							
hyper-rustls@0.27.9		X							X		X							
hyper-tls@0.6.0		X									X							
hyper-util@0.1.20											X							
iana-time-zone@0.1.65		X									X							
iana-time-zone-haiku@0.1.2		X									X							
icu_collections@2.2.0														X				
icu_locale_core@2.2.0														X				
icu_normalizer@2.2.0														X				
icu_normalizer_data@2.2.0														X				
icu_properties@2.2.0														X				
icu_properties_data@2.2.0														X				
icu_provider@2.2.0														X				
ident_case@1.0.1		X									X							
idna@1.1.0		X									X							
idna_adapter@1.2.2		X									X							
include-flate@0.3.4		X																
include-flate-codegen@0.3.4		X																
include-flate-compress@0.3.4		X																
indexmap@2.14.0		X									X							
instant@0.1.13					X													
integer-encoding@3.0.4											X							
inventory@0.3.24		X									X							
ipnet@2.12.0		X									X							
itertools@0.12.1		X									X							
itertools@0.13.0		X									X							
itertools@0.14.0		X									X							
itoa@1.0.18		X									X							
jieba-macros@0.10.3											X							
jieba-rs@0.10.3											X							
jiff@0.2.34											X				X			
jiff-core@0.1.0											X				X			
jiff-tzdb@0.1.8											X				X			
jiff-tzdb-platform@0.1.3											X				X			
jni@0.22.4		X									X							
jni-macros@0.22.4		X									X							
jni-sys@0.4.1		X									X							
jni-sys-macros@0.4.1		X									X							
jobserver@0.1.35		X									X							
js-sys@0.3.103		X									X							
kanal@0.1.1											X							
lasso@0.7.3		X									X							
lazy_static@1.5.0		X									X							
lending-iterator@0.1.7		X									X					X		
lending-iterator-proc_macros@0.1.7		X									X					X		
levenshtein_automata@0.2.1											X							
lexical-core@1.0.6		X									X							
lexical-parse-float@1.0.6		X									X							
lexical-parse-integer@1.0.6		X									X							
lexical-util@1.0.7		X									X							
lexical-write-float@1.0.6		X									X							
lexical-write-integer@1.0.6		X									X							
libbz2-rs-sys@0.2.5																	X	
libc@0.2.186		X									X							
libflate@2.3.0											X							
libflate_lz77@2.3.0											X							
libloading@0.8.9									X									
libloading@0.9.0									X									
liblzma@0.4.7		X									X							
liblzma-sys@0.4.7		X									X							
libm@0.2.16											X							
linux-raw-sys@0.12.1		X	X								X							
linux-raw-sys@0.4.15		X	X								X							
litemap@0.8.2														X				
lock_api@0.4.14		X									X							
log@0.4.33		X									X							
lru@0.12.5											X							
lru@0.16.4											X							
lz4_flex@0.11.6											X							
lz4_flex@0.13.1											X							
lzokay-native@0.1.0											X							
macro_rules_attribute@0.1.3											X							
macro_rules_attribute-proc_macro@0.1.3											X							
matrixmultiply@0.3.11		X									X							
md-5@0.10.6		X									X							
md-5@0.11.0		X									X							
mea@0.6.4		X																
measure_time@0.8.3											X							
measure_time@0.9.0											X							
memchr@2.8.3											X				X			
memmap2@0.9.11		X									X							
mime@0.3.17		X									X							
minimal-lexical@0.2.1		X									X							
miniz_oxide@0.8.9		X									X					X		
mio@1.2.2											X							
moka@0.12.15		X									X							
murmurhash32@0.3.1											X							
nalgebra@0.33.3		X																
nalgebra-macros@0.2.2		X																
native-tls@0.2.18		X									X							
never-say-never@6.6.666		X									X					X		
no_std_io2@0.9.4		X									X							
nom@7.1.3											X							
nougat@0.2.4		X									X					X		
nougat-proc_macros@0.2.4		X									X					X		
num@0.4.3		X									X							
num-bigint@0.4.8		X									X							
num-complex@0.4.6		X									X							
num-conv@0.2.2		X									X							
num-integer@0.1.46		X									X							
num-iter@0.1.46		X									X							
num-rational@0.4.2		X									X							
num-traits@0.2.19		X									X							
num_cpus@1.17.0		X									X							
num_enum@0.7.6		X			X						X							
num_enum_derive@0.7.6		X			X						X							
object@0.37.3		X									X							
object_store@0.13.2		X									X							
once_cell@1.21.4		X									X							
oneshot@0.1.13		X									X							
oneshot@0.2.1		X									X							
opendal-core@0.58.0		X																
opendal-http-transport-reqwest@0.58.0		X																
opendal-service-fs@0.58.0		X																
opendal-service-oss@0.58.0		X																
openssl@0.10.81		X																
openssl-macros@0.1.1		X									X							
openssl-probe@0.2.1		X									X							
openssl-sys@0.9.117											X							
orc-rust@0.8.0		X																
ordered-float@2.10.1											X							
ordered-float@5.3.0											X							
ordered-multimap@0.7.3											X							
ownedbytes@0.7.0											X							
ownedbytes@0.9.0											X							
paimon@0.3.0		X																
paimon-datafusion@0.3.0		X																
paimon-ftindex-core@0.1.0		X																
paimon-mosaic-core@0.2.0		X																
paimon-vindex-core@0.2.0		X																
parking@2.2.1		X									X							
parking_lot@0.12.5		X									X							
parking_lot_core@0.9.12		X									X							
parquet@58.3.0		X																
paste@1.0.15		X									X							
pco@1.0.2		X																
percent-encoding@2.3.2		X									X							
petgraph@0.8.3		X									X							
phf@0.12.1											X							
phf@0.13.1											X							
phf_codegen@0.13.1											X							
phf_generator@0.13.1											X							
phf_shared@0.12.1											X							
phf_shared@0.13.1											X							
pin-project@1.1.13		X									X							
pin-project-internal@1.1.13		X									X							
pin-project-lite@0.2.17		X									X							
piper@0.2.5		X									X							
pkg-config@0.3.33		X									X							
polling@3.11.0		X									X							
polonius-the-crab@0.2.1		X									X					X		
portable-atomic@1.14.0		X									X							
portable-atomic-util@0.2.7		X									X							
potential_utf@0.1.5														X				
powerfmt@0.2.0		X									X							
ppv-lite86@0.2.21		X									X							
pretty_assertions@1.4.1		X									X							
prettyplease@0.2.37		X									X							
proc-macro-error-attr3@3.0.2		X									X							
proc-macro-error3@3.0.2		X									X							
proc-macro2@1.0.107		X									X							
prost@0.13.5		X																
prost@0.14.4		X																
prost-derive@0.13.5		X																
prost-derive@0.14.4		X																
prost-types@0.14.4		X																
psm@0.1.31		X									X							
quad-rand@0.2.3											X							
quick-xml@0.41.0											X							
quote@1.0.47		X									X							
r-efi@5.3.0		X								X	X							
r-efi@6.0.0		X								X	X							
radium@0.7.0											X							
rand@0.10.2		X									X							
rand@0.8.7		X									X							
rand@0.9.5		X									X							
rand_chacha@0.3.1		X									X							
rand_chacha@0.9.0		X									X							
rand_core@0.10.1		X									X							
rand_core@0.6.4		X									X							
rand_core@0.9.5		X									X							
rand_distr@0.4.3		X									X							
rand_xoshiro@0.6.0		X									X							
rawpointer@0.2.1		X									X							
rayon@1.12.0		X									X							
rayon-core@1.13.0		X									X							
recursive@0.1.1											X							
recursive-proc-macro-impl@0.1.1											X							
redox_syscall@0.5.18											X							
regex@1.13.1		X									X							
regex-automata@0.4.16		X									X							
regex-lite@0.1.9		X									X							
regex-syntax@0.8.11		X									X							
reqsign-aliyun-oss@3.1.1		X																
reqsign-core@3.1.0		X																
reqsign-file-read-tokio@3.0.2		X																
reqwest@0.12.28		X									X							
reqwest@0.13.4		X									X							
rle-decode-fast@1.0.3		X									X							
roaring@0.11.4		X									X							
rust-ini@0.21.3											X							
rust-stemmers@1.2.0					X						X							
rustc-hash@1.1.0		X									X							
rustc-hash@2.1.3		X									X							
rustc_version@0.4.1		X									X							
rustix@0.38.44		X	X								X							
rustix@1.1.4		X	X								X							
rustls@0.23.42		X							X		X							
rustls-native-certs@0.8.4		X							X		X							
rustls-pki-types@1.15.0		X									X							
rustls-platform-verifier@0.7.0		X									X							
rustls-platform-verifier-android@0.1.1		X									X							
rustls-webpki@0.103.13									X									
rustversion@1.0.23		X									X							
ryu@1.0.23		X				X												
safe_arch@0.7.4		X									X					X		
same-file@1.0.6											X				X			
schannel@0.1.29											X							
scopeguard@1.2.0		X									X							
security-framework@3.7.0		X									X							
security-framework-sys@2.17.0		X									X							
semver@1.0.28		X									X							
seq-macro@0.3.6		X									X							
serde@1.0.229		X									X							
serde_bytes@0.11.19		X									X							
serde_core@1.0.229		X									X							
serde_derive@1.0.229		X									X							
serde_json@1.0.151		X									X							
serde_repr@0.1.21		X									X							
serde_urlencoded@0.7.1		X									X							
serde_with@3.21.0		X									X							
serde_with_macros@3.21.0		X									X							
sha1@0.10.7		X									X							
sha1@0.11.0		X									X							
sha2@0.10.9		X									X							
sha2@0.11.0		X									X							
shlex@1.3.0		X									X							
shlex@2.0.1		X									X							
signal-hook-registry@1.4.8		X									X							
simba@0.9.1		X																
simd-adler32@0.3.10											X							
simd_cesu8@1.2.0		X									X							
simdutf8@0.1.5		X									X							
siphasher@1.0.3		X									X							
sketches-ddsketch@0.2.2		X																
sketches-ddsketch@0.4.0		X																
slab@0.4.12											X							
smallvec@1.15.2		X									X							
smol@2.0.2		X									X							
snafu@0.8.9		X									X							
snafu@0.9.1		X									X							
snafu-derive@0.8.9		X									X							
snafu-derive@0.9.1		X									X							
snap@1.1.2					X													
socket2@0.6.5		X									X							
sqlparser@0.62.0		X																
sqlparser_derive@0.5.0		X																
stable_deref_trait@1.2.1		X									X							
stacker@0.1.24		X									X							
static_assertions@1.1.0		X									X							
strsim@0.11.1											X							
strum@0.27.2											X							
strum_macros@0.27.2											X							
subtle@2.6.1					X													
syn@1.0.109		X									X							
syn@2.0.119		X									X							
syn@3.0.2		X									X							
sync_wrapper@1.0.2		X																
synstructure@0.13.2											X							
system-configuration@0.7.0		X									X							
system-configuration-sys@0.6.0		X									X							
tagptr@0.2.0		X									X							
tantivy@0.22.1											X							
tantivy@0.26.1											X							
tantivy-bitpacker@0.10.0											X							
tantivy-bitpacker@0.6.0											X							
tantivy-columnar@0.3.0											X							
tantivy-columnar@0.7.0											X							
tantivy-common@0.11.0											X							
tantivy-common@0.7.0											X							
tantivy-fst@0.5.0											X				X			
tantivy-jieba@0.20.0											X							
tantivy-query-grammar@0.22.0											X							
tantivy-query-grammar@0.26.0											X							
tantivy-sstable@0.3.0											X							
tantivy-sstable@0.7.0											X							
tantivy-stacker@0.3.0											X							
tantivy-stacker@0.7.0											X							
tantivy-tokenizer-api@0.3.0											X							
tantivy-tokenizer-api@0.7.0											X							
tap@1.0.1											X							
tempfile@3.27.0		X									X							
termtree@1.0.0											X							
thiserror@1.0.69		X									X							
thiserror@2.0.19		X									X							
thiserror-impl@1.0.69		X									X							
thiserror-impl@2.0.19		X									X							
thrift@0.17.0		X																
time@0.3.54		X									X							
time-core@0.1.9		X									X							
tiny-keccak@2.0.2							X											
tinystr@0.8.3														X				
tokio@1.53.0											X							
tokio-macros@2.7.1											X							
tokio-native-tls@0.3.1											X							
tokio-rustls@0.26.4		X									X							
tokio-stream@0.1.18											X							
tokio-util@0.7.18											X							
tower@0.5.3											X							
tower-http@0.6.11											X							
tower-layer@0.3.3											X							
tower-service@0.3.3											X							
tracing@0.1.44											X							
tracing-attributes@0.1.31											X							
tracing-core@0.1.36											X							
try-lock@0.2.5											X							
twox-hash@2.1.3											X							
typed-builder@0.19.1		X									X							
typed-builder-macro@0.19.1		X									X							
typeid@1.0.3		X									X							
typenum@1.20.1		X									X							
typetag@0.2.23		X									X							
typetag-impl@0.2.23		X									X							
unicode-ident@1.0.24		X									X			X				
unicode-segmentation@1.13.2		X									X							
unicode-width@0.2.2		X									X							
untrusted@0.9.0									X									
url@2.5.8		X									X							
urlencoding@2.1.3											X							
utf8-ranges@1.0.5											X				X			
utf8_iter@1.0.4		X									X							
uuid@1.24.0		X									X							
vcpkg@0.2.15		X									X							
version_check@0.9.5		X									X							
vortex@0.75.0		X																
vortex-alp@0.75.0		X																
vortex-array@0.75.0		X																
vortex-array-macros@0.75.0		X																
vortex-btrblocks@0.75.0		X																
vortex-buffer@0.75.0		X																
vortex-bytebool@0.75.0		X																
vortex-compressor@0.75.0		X																
vortex-datetime-parts@0.75.0		X																
vortex-decimal-byte-parts@0.75.0		X																
vortex-error@0.75.0		X																
vortex-fastlanes@0.75.0		X																
vortex-file@0.75.0		X																
vortex-flatbuffers@0.75.0		X																
vortex-fsst@0.75.0		X																
vortex-io@0.75.0		X																
vortex-ipc@0.75.0		X																
vortex-layout@0.75.0		X																
vortex-mask@0.75.0		X																
vortex-metrics@0.75.0		X																
vortex-pco@0.75.0		X																
vortex-proto@0.75.0		X																
vortex-runend@0.75.0		X																
vortex-scan@0.75.0		X																
vortex-sequence@0.75.0		X																
vortex-session@0.75.0		X																
vortex-sparse@0.75.0		X																
vortex-utils@0.75.0		X																
vortex-zigzag@0.75.0		X																
vortex-zstd@0.75.0		X																
walkdir@2.5.0											X				X			
want@0.3.1											X							
wasi@0.11.1+wasi-snapshot-preview1		X	X								X							
wasip2@1.0.4+wasi-0.2.12		X	X								X							
wasm-bindgen@0.2.126		X									X							
wasm-bindgen-futures@0.4.76		X									X							
wasm-bindgen-macro@0.2.126		X									X							
wasm-bindgen-macro-support@0.2.126		X									X							
wasm-bindgen-shared@0.2.126		X									X							
wasm-streams@0.5.0		X									X							
web-sys@0.3.103		X									X							
web-time@1.1.0		X									X							
webpki-root-certs@1.0.9								X										
wide@0.7.33		X									X					X		
winapi@0.3.9		X									X							
winapi-i686-pc-windows-gnu@0.4.0		X									X							
winapi-util@0.1.11											X				X			
winapi-x86_64-pc-windows-gnu@0.4.0		X									X							
windows-core@0.62.2		X									X							
windows-implement@0.60.2		X									X							
windows-interface@0.59.3		X									X							
windows-link@0.2.1		X									X							
windows-registry@0.6.1		X									X							
windows-result@0.4.1		X									X							
windows-strings@0.5.1		X									X							
windows-sys@0.52.0		X									X							
windows-sys@0.59.0		X									X							
windows-sys@0.61.2		X									X							
windows-targets@0.52.6		X									X							
windows_aarch64_gnullvm@0.52.6		X									X							
windows_aarch64_msvc@0.52.6		X									X							
windows_i686_gnu@0.52.6		X									X							
windows_i686_gnullvm@0.52.6		X									X							
windows_i686_msvc@0.52.6		X									X							
windows_x86_64_gnu@0.52.6		X									X							
windows_x86_64_gnullvm@0.52.6		X									X							
windows_x86_64_msvc@0.52.6		X									X							
wit-bindgen@0.57.1		X	X								X							
writeable@0.6.3														X				
wyz@0.5.1											X							
xattr@1.6.1		X									X							
yansi@1.0.1		X									X							
yoke@0.8.3														X				
yoke-derive@0.8.2														X				
zerocopy@0.8.54		X		X							X							
zerocopy-derive@0.8.54		X		X							X							
zerofrom@0.1.8														X				
zerofrom-derive@0.1.7														X				
zeroize@1.9.0		X									X							
zerotrie@0.2.4														X				
zerovec@0.11.6														X				
zerovec-derive@0.11.3														X				
zigzag@0.1.0											X							
zlib-rs@0.6.6																X		
zmij@1.0.23											X							
zstd@0.13.3											X							
zstd-safe@7.2.4		X									X							
zstd-sys@2.0.16+zstd.1.5.7		X									X							
